"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13427","OrangeHRM Login - Try Until Successful Login","chromium","2025-12-01","passed","2025-12-01","","UIAutomation\TC-OrangeHRMLogin-mcp.spec.js","",""
"","11934","Validate the forgot password functionality","chromium","2026-03-12","passed","2026-03-12","","UIAutomation\Emailvalidation.spec.js","",""
"","20566","API Chaining: Auth, Create Booking, Get Booking, Update Booking","chromium","2025-11-13","passed","2025-11-13","","APIautomation\APIChaining2.spec.js","",""
"","18290","test","chromium","2025-10-15","failed","2025-10-15","","test-2.spec.ts","",""
"","7754","test","chromium","2025-10-15","failed","2025-10-15","","test-5.spec.ts","",""
"","15825","OrangeHRM Login - Validate Login for user: Admin [2]","chromium","2026-02-08","failed","2026-02-08","","login.spec.js","",""
"","6228","12.validate claim page contains claim text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","670","Post call with BookingID from Endpoint restful-booker.herokuapp.com/booking","chromium","2025-11-19","passed","2025-11-19","","restful-booker\createBooking.spec.js","",""
"","10826","test","chromium","2026-02-08","passed","2026-02-08","","UIAutomation\TC-OrangeHRMLogin.spec.js","",""
"","1980","API Chaining: Auth, Create Booking, Get Booking","chromium","2025-11-12","passed","2025-11-12","","APIautomation\APIChaining2.spec.js","",""
"","6440","8.Validate Performance page contains Performance text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","7516","10.Validate Maintenance page contains Maintenance text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","18884","OrangeHRM Login - Validate Login for user: WrongUsr [1]","chromium","2026-02-08","failed","2026-02-08","","login.spec.js","",""
"","6809","9.Validate Directory page contains Directory text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","32925","2.Validate Admin page contains Admin text in URL","chromium","2025-10-01","broken","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","6459","OrangeHRM Login - Validate Login Page","chromium","2025-09-20","passed","2025-09-20","","login.spec.js","",""
"","6832","4.Validate Leave page contains Leave text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","599","Post call with token from Endpoint https://restful-booker.herokuapp.com/auth","chromium","2025-11-19","passed","2025-11-19","","restful-booker\createBooking.spec.js","",""
"","23813","Admin Organization","chromium","2025-10-15","passed","2025-10-15","","Assignment\adminorg.spec.js","",""
"","6881","Radiobuttons with alert text capture","chromium","2025-09-06","passed","2025-09-06","","UIAutomation\TC002MultipleRadiobtn.spec.js","",""
"","10022","Handling auto suggetion in googlesearch","chromium","2026-02-17","failed","2026-02-17","","UIAutomation\autoComplete.spec.js","",""
"","18075","test Demo","chromium","2025-09-01","passed","2025-09-01","","UIAutomation\Fileupload.spec.js","",""
"","11311","1.Validate dashboard contains dashboard text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","30188","OrangeHRM Login - Validate Login for user: Admin [0]","chromium","2026-02-08","broken","2026-02-08","","login.spec.js","",""
"","477","test","chromium","2025-10-15","passed","2025-10-15","","test-4.spec.ts","",""
"","6937","5.Validate Time page contains Time text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","6437","3.Validate PIM page contains PIM text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","1612","test","chromium","2025-10-15","passed","2025-10-15","","test-3.spec.ts","",""
"","7044","6.Validate Recruitment page contains Recruitment text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","8110","Radiobuttons","chromium","2025-10-30","passed","2025-10-30","","Assignment\Aug4Radiobutton.spec.js","",""
"","6362","11.Validate Buzz page contains Buzz text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","624","Update Booking with PUT call to Endpoint https://restful-booker.herokuapp.com/booking/{id}","chromium","2025-11-19","passed","2025-11-19","","restful-booker\updateBooking.spec.js","",""
"","1228","test","chromium","2025-09-24","passed","2025-09-24","","test-1.spec.ts","",""
"","6641","7.Validate My Info page contains My Info text in URL","chromium","2025-10-01","passed","2025-10-01","","Assignment\Aug6thHooks.spec.js","",""
"","1183","Select any departure date automatically without specifying selectors","chromium","2025-11-09","failed","2025-11-09","","UIAutomation\datePicker.spec.js","",""
"","28039","Create 10 users in OrangeHRM","chromium","2026-02-08","failed","2026-02-08","","admin.spec.js","",""
"","6451","Checkboxes","chromium","2026-02-07","passed","2026-02-07","","UIAutomation\TC001Radiobutton.spec.js","",""
"","8986","OrangeHRM Login - Validate Login Page","chromium","2025-12-01","failed","2025-12-01","","UIAutomation\TC-OrangeHRMLogin-mcp.spec.js","",""
